Metric,Value
design_powergrid__drop__worst__net:VGND__corner:nom_tt_025C_1v80,0.000250526
design_powergrid__voltage__worst,0.000250526
design_powergrid__voltage__worst__net:VPWR,1.79977
design_powergrid__drop__worst,0.000250526
design_powergrid__drop__worst__net:VPWR,0.00023052
design_powergrid__voltage__worst__net:VGND,0.000250526
design_powergrid__drop__worst__net:VGND,0.000250526
ir__voltage__worst,1.8000000000000000444089209850062616169452667236328125
ir__drop__avg,0.000007659999999999999505139770816786182194846333004534244537353515625
ir__drop__worst,0.00023100000000000000415813217191640660530538298189640045166015625
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
